aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.4367700219154358,0.6678958595775859,0.4301369786262512,0.6661508253530117,50
MeanMessage,GRUUpdate,0.44066330790519714,0.6759551175706024,0.43403029441833496,0.6762219636329221,50
SymNormMessage,SelfLoopUpdate,0.4543619453907013,0.664093622697667,0.4292718172073364,0.6608723738098108,50
SymNormMessage,GRUUpdate,0.43532803654670715,0.6765713807486413,0.42883920669555664,0.6750566475709724,50
ConvMessage,SelfLoopUpdate,0.42307138442993164,0.6651165876288673,0.43201154470443726,0.6642117369884001,50
ConvMessage,GRUUpdate,0.4421052634716034,0.6813194524435473,0.4428262412548065,0.6841789880554462,50
AttentionMessage,SelfLoopUpdate,0.43705838918685913,0.6588120140383986,0.43864455819129944,0.6595013530034177,50
AttentionMessage,GRUUpdate,0.4367700219154358,0.688818088117104,0.4408074915409088,0.6869893398299587,50
