aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.49257388710975647,0.7069986868400525,0.45940878987312317,0.7054839695316213,50
MeanMessage,GRUUpdate,0.4826243817806244,0.7109017487055203,0.44268205761909485,0.706962719748873,50
SymNormMessage,SelfLoopUpdate,0.48320114612579346,0.6946205798617615,0.4612833559513092,0.6948458828237272,50
SymNormMessage,GRUUpdate,0.46806055307388306,0.7006250551708055,0.4506128430366516,0.6987876886335112,50
ConvMessage,SelfLoopUpdate,0.4940158724784851,0.7104983350367244,0.46849316358566284,0.7092879571026903,50
ConvMessage,GRUUpdate,0.47916367650032043,0.696189395480572,0.4327325224876404,0.6936717341170435,50
AttentionMessage,SelfLoopUpdate,0.4919971227645874,0.707158516568102,0.467483788728714,0.7050609815918765,50
AttentionMessage,GRUUpdate,0.47916367650032043,0.7025213379075117,0.4423936605453491,0.6998428711030917,50
