aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.48896899819374084,0.6982199521758297,0.41687095165252686,0.6960289799746167,50
MeanMessage,GRUUpdate,0.44138428568840027,0.6916447774593979,0.43157893419265747,0.6883148576603138,50
SymNormMessage,SelfLoopUpdate,0.47829848527908325,0.6832476921462812,0.4162941575050354,0.6811525385277755,50
SymNormMessage,GRUUpdate,0.4452775716781616,0.6951688688288091,0.4224945902824402,0.6943147671526,50
ConvMessage,SelfLoopUpdate,0.4842105209827423,0.7010918451028225,0.40951693058013916,0.6990378497197436,50
ConvMessage,GRUUpdate,0.48622927069664,0.719993259790148,0.44758471846580505,0.7179146517375468,50
AttentionMessage,SelfLoopUpdate,0.48767122626304626,0.693697081187727,0.4180245101451874,0.6934059931666006,50
AttentionMessage,GRUUpdate,0.4383561611175537,0.678064422902817,0.44268205761909485,0.6775096618636895,50
