aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.49762076139450073,0.7110527860645804,0.4419610798358917,0.7114315262919765,50
MeanMessage,GRUUpdate,0.4821917712688446,0.7027474841098956,0.43403029441833496,0.700766386582959,50
SymNormMessage,SelfLoopUpdate,0.4981975555419922,0.717860620343542,0.4534967541694641,0.7160685630163749,50
SymNormMessage,GRUUpdate,0.4842105209827423,0.706231684374551,0.43489545583724976,0.7033787761245835,50
ConvMessage,SelfLoopUpdate,0.48680606484413147,0.7120855686617175,0.4563806653022766,0.7102297665892663,50
ConvMessage,GRUUpdate,0.48161500692367554,0.7070682242063859,0.42307138442993164,0.703693443568838,50
AttentionMessage,SelfLoopUpdate,0.4863734543323517,0.7148869076742372,0.465753436088562,0.7139930065975342,50
AttentionMessage,GRUUpdate,0.48031723499298096,0.697607219645977,0.4298485815525055,0.6948639703462751,50
