aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.49516943097114563,0.71356185243336,0.45666906237602234,0.7111227331680041,50
MeanMessage,GRUUpdate,0.4808940291404724,0.6907661097395341,0.4302811920642853,0.6908647407924433,50
SymNormMessage,SelfLoopUpdate,0.48478731513023376,0.7113749069814739,0.4359048306941986,0.7110580105516149,50
SymNormMessage,GRUUpdate,0.5025234222412109,0.692399062383935,0.42840662598609924,0.6909665882738043,50
ConvMessage,SelfLoopUpdate,0.48810380697250366,0.7119823652602058,0.46517664194107056,0.708931843005803,50
ConvMessage,GRUUpdate,0.5019466280937195,0.6790655348614705,0.42465752363204956,0.679059735044131,50
AttentionMessage,SelfLoopUpdate,0.48031723499298096,0.7127002672205709,0.43417447805404663,0.7109358443557956,50
AttentionMessage,GRUUpdate,0.47700071334838867,0.6922218395236986,0.4249459207057953,0.6924356808669511,50
