aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.4945926368236542,0.7167051403069675,0.4498918652534485,0.7139313166377574,50
MeanMessage,GRUUpdate,0.4412400722503662,0.6866997848667534,0.4408074915409088,0.68754723083324,50
SymNormMessage,SelfLoopUpdate,0.4866618514060974,0.7120000799373092,0.438067764043808,0.7107321835624129,50
SymNormMessage,GRUUpdate,0.5387166738510132,0.6931684755912193,0.43532803654670715,0.6942476380905491,50
ConvMessage,SelfLoopUpdate,0.48723864555358887,0.7149987590782321,0.46272531151771545,0.7128000690597882,50
ConvMessage,GRUUpdate,0.4850757122039795,0.6926696519081901,0.4379235804080963,0.6909036942314546,50
AttentionMessage,SelfLoopUpdate,0.47988465428352356,0.7149618740820813,0.447440505027771,0.7131739140459329,50
AttentionMessage,GRUUpdate,0.5518385171890259,0.7093365910267475,0.4350396394729614,0.7061049165025457,50
