aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.48738282918930054,0.7094142973358837,0.4472963213920593,0.7076192041985305,50
MeanMessage,GRUUpdate,0.4682047665119171,0.7052178630954884,0.42350396513938904,0.7026016713629915,50
SymNormMessage,SelfLoopUpdate,0.4686373472213745,0.6960724724563656,0.4408074915409088,0.6958754884374907,50
SymNormMessage,GRUUpdate,0.44383561611175537,0.6971185373916359,0.4223504066467285,0.6964737564197329,50
ConvMessage,SelfLoopUpdate,0.4801730215549469,0.7021472611959934,0.44354721903800964,0.7002667196639718,50
ConvMessage,GRUUpdate,0.45162221789360046,0.6906160818703668,0.42465752363204956,0.6907507114188174,50
AttentionMessage,SelfLoopUpdate,0.4752703607082367,0.6960433282722711,0.43460705876350403,0.696102703997717,50
AttentionMessage,GRUUpdate,0.43734678626060486,0.6953033720378177,0.42710885405540466,0.6955460364229717,50
