aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.4814707934856415,0.7004130992927949,0.4585436284542084,0.7008249704579775,36
MeanMessage,GRUUpdate,0.4882480204105377,0.6919997322009339,0.40634462237358093,0.6917509661662342,27
SymNormMessage,SelfLoopUpdate,0.4888248145580292,0.6901158584842563,0.46474406123161316,0.6896579979150776,50
SymNormMessage,GRUUpdate,0.425234317779541,0.6879591596737502,0.4198990762233734,0.6908313230137552,26
ConvMessage,SelfLoopUpdate,0.49012255668640137,0.7125316287646459,0.4596971869468689,0.7112559525372929,28
ConvMessage,GRUUpdate,0.4653208255767822,0.6999000343938975,0.399423211812973,0.6989234752009698,39
AttentionMessage,SelfLoopUpdate,0.48565247654914856,0.7069785397405297,0.46229273080825806,0.7074809335678021,34
AttentionMessage,GRUUpdate,0.441672682762146,0.6894954729509923,0.39394375681877136,0.6908365267869079,23
