aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.7604736089706421,0.697538702343095,0.5414389967918396,0.6912326002924705,50
MeanMessage,GRUUpdate,0.561247706413269,0.6711904397328861,0.37704917788505554,0.6678904335015612,50
SymNormMessage,SelfLoopUpdate,0.5214025378227234,0.6620895229114376,0.4758652150630951,0.6594890316526355,50
SymNormMessage,GRUUpdate,0.4829235076904297,0.7117440920382825,0.4212203919887543,0.7080546053964858,50
ConvMessage,SelfLoopUpdate,0.5810564756393433,0.6617284502325212,0.437386155128479,0.6597295107373649,50
ConvMessage,GRUUpdate,0.5132058262825012,0.654372734699641,0.4096083641052246,0.6536382188776058,50
AttentionMessage,SelfLoopUpdate,0.6543715596199036,0.6862366058182016,0.46698543429374695,0.6820864931892959,50
AttentionMessage,GRUUpdate,0.4751821458339691,0.6642579917574972,0.39776867628097534,0.6616727815162755,50
