aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.4760929048061371,0.6806505398558986,0.43533697724342346,0.676088503559996,50
MeanMessage,GRUUpdate,0.44307833909988403,0.6800897757583902,0.3850182294845581,0.6774096413544396,50
SymNormMessage,SelfLoopUpdate,0.4581056535243988,0.6698535967553466,0.41438978910446167,0.6644983336693889,50
SymNormMessage,GRUUpdate,0.45355191826820374,0.7099239001273457,0.41917121410369873,0.7059538572181382,50
ConvMessage,SelfLoopUpdate,0.7090163826942444,0.6540896156615974,0.4480874240398407,0.6529919292699885,50
ConvMessage,GRUUpdate,0.46061021089553833,0.6441408601243088,0.403233140707016,0.6425939378976393,50
AttentionMessage,SelfLoopUpdate,0.43510928750038147,0.6832382273492136,0.4164389669895172,0.6793310318726546,50
AttentionMessage,GRUUpdate,0.5491803288459778,0.6895251185189165,0.4692623019218445,0.6826701359874304,50
