aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.7953096628189087,0.5854147774385816,0.7065118551254272,0.5880669391287718,50
MeanMessage,GRUUpdate,1.0,0.6080350957270048,0.568306028842926,0.6091854044571449,50
SymNormMessage,SelfLoopUpdate,0.7593351602554321,0.5796859585439036,0.5944899916648865,0.5922710104001305,50
SymNormMessage,GRUUpdate,0.6409380435943604,0.6766407718286093,0.5186703205108643,0.6788493598973108,50
ConvMessage,SelfLoopUpdate,0.755919873714447,0.6413410909519379,0.6764571666717529,0.6538084934803907,50
ConvMessage,GRUUpdate,0.5892531871795654,0.8390122413657715,0.5352914333343506,0.8286113242776971,50
AttentionMessage,SelfLoopUpdate,0.8408470153808594,0.6870747896432887,0.6564207673072815,0.6711340699959163,50
AttentionMessage,GRUUpdate,0.5922130942344666,0.6964805919154097,0.5282331705093384,0.7061365758838032,50
