aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.6045082211494446,0.672132852794776,0.41780510544776917,0.6697254781262161,50
MeanMessage,GRUUpdate,0.3893442749977112,0.6593168093651998,0.3683970868587494,0.659065484527996,50
SymNormMessage,SelfLoopUpdate,0.4025501012802124,0.6615049714675629,0.3845628499984741,0.6570683542402784,50
SymNormMessage,GRUUpdate,0.5712659358978271,0.8190633088365264,0.40072858333587646,0.8201301699422436,50
ConvMessage,SelfLoopUpdate,0.48383423686027527,0.6565599596015481,0.43989071249961853,0.6529166519124191,50
ConvMessage,GRUUpdate,0.4863387942314148,0.6407684333347452,0.37955373525619507,0.6377658911687536,50
AttentionMessage,SelfLoopUpdate,0.4583333432674408,0.6686872791935332,0.4018670320510864,0.6663120183625063,50
AttentionMessage,GRUUpdate,0.42896175384521484,0.6564872086139082,0.36634790897369385,0.6474419717408426,50
