комбинация,optuna_метрика,optuna_hidden_dim,optuna_out_dim,optuna_num_layers,optuna_dropout,optuna_lr,optuna_weight_decay,optuna_patience,optuna_attention_heads
MeanMessage_SelfLoopUpdate,0.69601529466193,64,48,1,0.25,0.0017727776714514933,0.0029295419780654463,50,
MeanMessage_GRUUpdate,0.690760748024754,32,128,3,0.35,0.004163044796122896,0.006330060802709986,80,
SymNormMessage_SelfLoopUpdate,0.7702506970619214,128,32,3,0.55,0.004306151702323103,0.003325857021833288,70,
SymNormMessage_GRUUpdate,0.8291252096604482,96,48,4,0.2,0.004465957229542978,0.004805995568986881,60,
ConvMessage_SelfLoopUpdate,0.6675691698337736,48,128,4,0.30000000000000004,0.0004843152646908732,3.203012028159663e-05,80,
ConvMessage_GRUUpdate,0.8501280617735946,48,64,6,0.6,0.004843234578758157,0.00010701897873493348,50,
AttentionMessage_SelfLoopUpdate,0.6865005278755493,96,64,1,0.5,0.0009552077069237141,6.606000458179084e-05,20,8.0
AttentionMessage_GRUUpdate,0.6896681514676924,64,96,5,0.35,0.001331319129498715,0.00848697832165438,70,4.0
