aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.39435335993766785,0.5118149067005001,0.32058286666870117,0.5217931383108428,50.0,
MeanMessage,gru,0.09562841802835464,0.6299845138009049,0.05760473757982254,0.6450865311932776,31.0,
SymNormMessage,self_loops,0.4023224115371704,0.5032179070415541,0.26980873942375183,0.516199308209263,50.0,
SymNormMessage,gru,0.08811475336551666,0.6229935736511261,0.05737704783678055,0.6361228165809814,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.20560109615325928,0.47461650670063654,0.1771402508020401,0.48296869793301744,50.0,
AttentionMessage,gru,0.0728597417473793,0.600688437438988,0.05942622944712639,0.6122983887945583,50.0,
