aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.5257285833358765,0.5351711083527246,0.4865664839744568,0.5576277352934162,50.0,
MeanMessage,gru,0.12363387644290924,0.7954256787582759,0.07855191081762314,0.8041135326936273,50.0,
SymNormMessage,self_loops,0.50113844871521,0.5611476240378499,0.44603824615478516,0.5895846247704661,50.0,
SymNormMessage,gru,0.16848815977573395,0.8245944196272621,0.0728597417473793,0.8295362379365661,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.5132058262825012,0.5484638287117527,0.46334242820739746,0.558653019658166,50.0,
AttentionMessage,gru,0.1600637584924698,0.8246620530075288,0.07468123733997345,0.8295886293987152,50.0,
