aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.375455379486084,0.5117786379928329,0.31853368878364563,0.5245660579612048,50.0,
MeanMessage,gru,0.09130236506462097,0.6219160408472482,0.05737704783678055,0.6399702328503966,31.0,
SymNormMessage,self_loops,0.4544626474380493,0.5073325119166286,0.30077412724494934,0.513838597259501,50.0,
SymNormMessage,gru,0.08765938133001328,0.6165548372878552,0.05373406037688255,0.6302915549556981,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.1944444477558136,0.47817988977787584,0.17258651554584503,0.49139014779365664,50.0,
AttentionMessage,gru,0.13706739246845245,0.5890926391924914,0.060564663261175156,0.6089957862706746,31.0,
