aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.04167267307639122,0.7737784907775471,0.03835616260766983,0.7744318019453353,38.0,
MeanMessage,gru,0.04138428345322609,0.8640227695486615,0.02018745429813862,0.8615801870821646,31.0,
SymNormMessage,self_loops,0.035760633647441864,0.7808871679825562,0.03201153501868248,0.7812526582486695,40.0,
SymNormMessage,gru,0.02869502454996109,0.8382503154489458,0.020331650972366333,0.8393264746807743,33.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.025811102241277695,0.8360214132866961,0.026387887075543404,0.8298853382412918,50.0,
AttentionMessage,gru,0.03143475204706192,0.8631133043785937,0.02206200361251831,0.8608796784577686,32.0,
