aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.03777937963604927,0.8126300400450164,0.04268204793334007,0.8120724847971382,50.0,
MeanMessage,gru,0.04383561760187149,0.8702540294540794,0.013554434292018414,0.868909709945918,50.0,
SymNormMessage,self_loops,0.09978370368480682,0.7779747611397358,0.09502523392438889,0.7806164715648951,50.0,
SymNormMessage,gru,0.03878875449299812,0.8729569389836114,0.013698630034923553,0.8696903817836523,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.02235039696097374,0.843381349557843,0.021629415452480316,0.839235986290394,50.0,
AttentionMessage,gru,0.04383561760187149,0.8747386359096596,0.013987022452056408,0.8724707835864992,50.0,
