aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.04138428345322609,0.6915381339787552,0.042393654584884644,0.6955241963453946,50.0,
MeanMessage,gru,0.05955299362540245,0.888596792183737,0.02840663306415081,0.8869358723358731,31.0,
SymNormMessage,self_loops,0.04556597024202347,0.6975437393570498,0.040951695293188095,0.6951239967653493,50.0,
SymNormMessage,gru,0.05493871495127678,0.8977998279565162,0.026964671909809113,0.8955382796553771,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.08767123520374298,0.7514016857020895,0.04282624274492264,0.7568506779909795,31.0,
AttentionMessage,gru,0.04470079392194748,0.873178091658815,0.031867340207099915,0.8718658740615816,33.0,
