aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.03835616260766983,0.8193587396793456,0.03604902699589729,0.818781321574016,50.0,
MeanMessage,gru,0.0380677729845047,0.8776335808353104,0.020620042458176613,0.874927164164877,45.0,
SymNormMessage,self_loops,0.03172314167022705,0.8180920406397906,0.032444123178720474,0.8153436394659996,50.0,
SymNormMessage,gru,0.01989906281232834,0.8649066352434839,0.01989906281232834,0.8619324761955827,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.0278298482298851,0.8135305543507456,0.028550829738378525,0.8094851105017612,50.0,
AttentionMessage,gru,0.04628695175051689,0.8554211536878487,0.021196827292442322,0.8531632777446729,41.0,
