aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.48702186346054077,0.5761245871378682,0.45036429166793823,0.5746459207618619,50.0,
MeanMessage,gru,0.21106557548046112,0.8270838391105468,0.15163934230804443,0.8295030370183403,50.0,
SymNormMessage,self_loops,0.501593828201294,0.5828591714683005,0.4583333432674408,0.6002133695776299,50.0,
SymNormMessage,gru,0.567850649356842,0.7933368586355503,0.17463570833206177,0.7995637107300948,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.6423041820526123,0.5653603571501941,0.4785974621772766,0.5787373721147989,50.0,
AttentionMessage,gru,0.13638433814048767,0.8380713824084879,0.057149361819028854,0.837774963579339,50.0,
