aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.5293715596199036,0.5727075726707048,0.4685792326927185,0.5860921542240534,50.0,
MeanMessage,gru,0.2190346121788025,0.82147483598024,0.1630236804485321,0.8277399868392519,50.0,
SymNormMessage,self_loops,0.5327869057655334,0.5797430516701777,0.4549180269241333,0.5931181531764448,50.0,
SymNormMessage,gru,0.6837431788444519,0.7831047763067217,0.17167577147483826,0.7870242089601432,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.4924863278865814,0.5634920020183584,0.47108379006385803,0.5838561478315247,50.0,
AttentionMessage,gru,0.05373406037688255,0.8469643350835463,0.0487249530851841,0.8494740291260423,50.0,
