aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.806010901927948,0.562407653862888,0.4690346121788025,0.5734876872752511,50.0,
MeanMessage,gru,0.22290527820587158,0.828598843478992,0.20059198141098022,0.8340150548159081,50.0,
SymNormMessage,self_loops,0.5120673775672913,0.5762048632763765,0.46789616346359253,0.5885394890761034,50.0,
SymNormMessage,gru,0.48406192660331726,0.7757359804574245,0.17987249791622162,0.785668762242125,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.5598816275596619,0.5712250629328343,0.505464494228363,0.5879544990715004,50.0,
AttentionMessage,gru,0.06102003529667854,0.8577132084395339,0.058515481650829315,0.8592161876149771,50.0,
