Комбинация,Test AUCPR,optuna_hidden_dim,optuna_out_dim,optuna_num_layers,optuna_dropout,optuna_lr,optuna_weight_decay,optuna_patience,optuna_attention_heads
MeanMessage_self_loops,0.6151831974531057,64,64,6,0.5,0.00020748033175894872,0.004760767751809498,50,
MeanMessage_gru,0.8560413412620625,64,64,6,0.5,0.00020748033175894872,0.004760767751809498,50,
SymNormMessage_self_loops,0.6101324684051848,64,64,6,0.5,0.00020748033175894872,0.004760767751809498,50,
SymNormMessage_gru,0.8538121244984487,128,32,1,0.35,0.00011439974749291271,0.00534516611064682,30,
ConvMessage_self_loops,-1.0,48,64,1,0.6,0.002595942550311264,4.335281794951564e-05,30,
ConvMessage_gru,-1.0,48,64,1,0.6,0.002595942550311264,4.335281794951564e-05,30,
AttentionMessage_self_loops,0.5823950227533589,128,64,6,0.35,0.002354054991673985,0.004878360603452143,40,8.0
AttentionMessage_gru,0.827641835672172,48,96,4,0.45000000000000007,0.00041475896984548505,0.008228984573308165,80,4.0
