aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.4162113070487976,0.4846451476323076,0.3583788573741913,0.49919619168478085,43.0,
MeanMessage,gru,0.08902549743652344,0.8084788385906811,0.06830601394176483,0.8160531646197664,31.0,
SymNormMessage,self_loops,0.40414389967918396,0.49359804562541,0.3333333432674408,0.5032424226815277,40.0,
SymNormMessage,gru,0.10154826939105988,0.8432386311520393,0.06762295216321945,0.8452518776126653,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.278233140707016,0.47605455345664416,0.2611566483974457,0.49432209330863275,50.0,
AttentionMessage,gru,0.12454462796449661,0.8107876427911822,0.07490892708301544,0.8179521343098476,32.0,
