aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.44968125224113464,0.5802939892054125,0.3920764923095703,0.5885063789237244,50.0,
MeanMessage,gru,0.12773224711418152,0.7959608631853132,0.06671220064163208,0.8038724981234552,41.0,
SymNormMessage,self_loops,0.46038252115249634,0.5649974597033384,0.40163934230804443,0.5816438376947018,50.0,
SymNormMessage,gru,0.08219490200281143,0.7497243699238836,0.06466302275657654,0.7578698509422779,46.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.4485428035259247,0.5692141258713458,0.38319671154022217,0.5789578683015348,50.0,
AttentionMessage,gru,0.16552823781967163,0.7692454199586451,0.06102003529667854,0.7739369736352332,41.0,
