aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.0380677729845047,0.7703555360096115,0.03835616260766983,0.7742489644036974,45.0,
MeanMessage,gru,0.038211967796087265,0.8479620074431844,0.020475847646594048,0.8466371682406734,31.0,
SymNormMessage,self_loops,0.038211967796087265,0.7609368654853339,0.032444123178720474,0.761787069391867,34.0,
SymNormMessage,gru,0.0327325165271759,0.8654026163162508,0.01989906281232834,0.8644624312176603,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.023503964766860008,0.8100501851117087,0.026387887075543404,0.8080474591155804,50.0,
AttentionMessage,gru,0.030281182378530502,0.8566752583164873,0.020331650972366333,0.8571177568686724,33.0,
