aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.039077144116163254,0.8183938941939215,0.03648161515593529,0.8164194166088417,50.0,
MeanMessage,gru,0.02898341789841652,0.8496035226165741,0.021196827292442322,0.8497752290636285,50.0,
SymNormMessage,self_loops,0.0458543635904789,0.7372532482717494,0.031578946858644485,0.7364630964792075,50.0,
SymNormMessage,gru,0.03994232043623924,0.8483987731760758,0.021052632480859756,0.8460180231930745,50.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.050036050379276276,0.8098692532036977,0.03085796721279621,0.8072777583684413,50.0,
AttentionMessage,gru,0.020908435806632042,0.8811692722649033,0.02263878844678402,0.8823435858833659,50.0,
