aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.04931506887078285,0.6834557105459452,0.0429704412817955,0.6854850021830887,43.0,
MeanMessage,gru,0.055803894996643066,0.9041334554395125,0.02869502454996109,0.9007628435412975,31.0,
SymNormMessage,self_loops,0.04196106642484665,0.6894650444350431,0.04196106642484665,0.6890098103825464,50.0,
SymNormMessage,gru,0.0560922846198082,0.8874589683450227,0.027685653418302536,0.8857765716485884,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.038500361144542694,0.743395545736889,0.0405191071331501,0.7464314635140309,50.0,
AttentionMessage,gru,0.05407353863120079,0.8877662575899934,0.031290553510189056,0.8866213416554047,31.0,
