aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed,error
MeanMessage,self_loops,0.03893294930458069,0.7938470385554455,0.031290553510189056,0.7928961678791195,50.0,
MeanMessage,gru,0.01932227797806263,0.8505834415022135,0.01989906281232834,0.8495598611492788,50.0,
SymNormMessage,self_loops,0.03417447581887245,0.8080897803601814,0.03143475204706192,0.8025122827358074,35.0,
SymNormMessage,gru,0.04354722425341606,0.8595553681523569,0.01932227797806263,0.8572660032469627,31.0,
ConvMessage,self_loops,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
ConvMessage,gru,1.0,0.0,,,,'NoneType' object has no attribute 'unsqueeze'
AttentionMessage,self_loops,0.030136985704302788,0.791275628590832,0.02840663306415081,0.7908903585757682,40.0,
AttentionMessage,gru,0.028839221224188805,0.8615206756349366,0.020475847646594048,0.8597887700944651,32.0,
