aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.5931238532066345,0.6979241964408247,0.505236804485321,0.6962666560389212,50
MeanMessage,GRUUpdate,0.48474499583244324,0.6459116307599155,0.40778687596321106,0.6417893078561374,50
SymNormMessage,SelfLoopUpdate,0.5177595615386963,0.646645940343169,0.5216302275657654,0.6498260124926531,50
SymNormMessage,GRUUpdate,0.47427141666412354,0.6544455051707738,0.4512750506401062,0.6504748685716983,50
ConvMessage,SelfLoopUpdate,0.6643897891044617,0.6721259309608053,0.5286885499954224,0.6723991957531896,50
ConvMessage,GRUUpdate,0.47040072083473206,0.6366820760851897,0.40846994519233704,0.6326834859030629,50
AttentionMessage,SelfLoopUpdate,0.6418488025665283,0.6941703126935129,0.5132058262825012,0.6929121294501634,50
AttentionMessage,GRUUpdate,0.4517304301261902,0.6431463624517901,0.40414389967918396,0.6379808320147933,50
