aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.5778688788414001,0.6640457810613236,0.48724955320358276,0.659705734419842,50
MeanMessage,GRUUpdate,0.4722222089767456,0.6642516408246265,0.42918944358825684,0.6587311583753162,50
SymNormMessage,SelfLoopUpdate,0.5255008935928345,0.7639284927343322,0.43260473012924194,0.7574345524569323,50
SymNormMessage,GRUUpdate,0.4444444477558136,0.7077074919424555,0.40846994519233704,0.7033447933153778,50
ConvMessage,SelfLoopUpdate,0.7119763493537903,0.6493347020998643,0.5412113070487976,0.6483138136479587,50
ConvMessage,GRUUpdate,0.693078339099884,0.6570173677058069,0.45582878589630127,0.6551337328857386,50
AttentionMessage,SelfLoopUpdate,0.6095172762870789,0.6681790989405028,0.48702186346054077,0.6638395974143292,50
AttentionMessage,GRUUpdate,0.5291438698768616,0.6751567065398625,0.4403460919857025,0.667527493166373,50
