aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.5739981532096863,0.6601414286910426,0.5325592160224915,0.6601128652136115,50
MeanMessage,GRUUpdate,0.5658014416694641,0.7041225406196172,0.471994549036026,0.6984589808467221,50
SymNormMessage,SelfLoopUpdate,0.4228142201900482,0.6775802694153925,0.4157559275627136,0.6772088211057472,50
SymNormMessage,GRUUpdate,0.4478597342967987,0.7067868660393501,0.4203096628189087,0.7036837406952083,50
ConvMessage,SelfLoopUpdate,0.7042349576950073,0.6531401744411599,0.5,0.6473187015478059,50
ConvMessage,GRUUpdate,0.7479507923126221,0.6600331699868474,0.44581055641174316,0.6558094766911932,50
AttentionMessage,SelfLoopUpdate,0.5469034314155579,0.6675371661064542,0.43260473012924194,0.6617561125067091,50
AttentionMessage,GRUUpdate,0.5093351602554321,0.6734019427635017,0.4132513701915741,0.665081628668473,50
