aggregate,update,test_fpr,test_auprc,best_val_fpr,best_val_auprc,epochs_completed
MeanMessage,SelfLoopUpdate,0.5268670320510864,0.6819459500244691,0.5127504467964172,0.6760813225186694,50
MeanMessage,GRUUpdate,0.4127959907054901,0.630171191717162,0.35951730608940125,0.6235051150454227,32
SymNormMessage,SelfLoopUpdate,0.5487249493598938,0.5494453744322638,0.5462204217910767,0.553231913302073,50
SymNormMessage,GRUUpdate,0.5152550339698792,0.6464399993489791,0.43943533301353455,0.6435076103082366,39
ConvMessage,SelfLoopUpdate,0.5389344096183777,0.6617282495266561,0.506602942943573,0.6579248617784028,50
ConvMessage,GRUUpdate,0.4232695698738098,0.6294367855644356,0.375455379486084,0.6254369064123395,43
AttentionMessage,SelfLoopUpdate,0.5357468128204346,0.6728794891881796,0.5184426307678223,0.6683339426935426,50
AttentionMessage,GRUUpdate,0.3986794054508209,0.6285124403738322,0.36634790897369385,0.6250157880083411,37
